38.100,53.340,38.100,45.720,38.100,38.100,38.100,30.480,38.100,22.860,38.100,15.240,38.100,7.620,38.100,0.000,38.100,-7.620,38.100,-15.240,38.100,-22.860,38.100,-30.480,38.100,-38.100,38.100,-45.720,38.100,-53.340,
45.720,53.340,45.720,45.720,45.720,38.100,45.720,30.480,45.720,22.860,45.720,15.240,45.720,7.620,45.720,0.000,45.720,-7.620,45.720,-15.240,45.720,-22.860,45.720,-30.480,45.720,-38.100,45.720,-45.720,45.720,-53.340,
53.340,53.340,53.340,45.720,53.340,38.100,53.340,30.480,53.340,22.860,53.340,15.240,53.340,7.620,53.340,0.000,53.340,-7.620,53.340,-15.240,53.340,-22.860,53.340,-30.480,53.340,-38.100,53.340,-45.720,53.340,-53.340,
60.960,53.340,60.960,45.720,60.960,38.100,60.960,30.480,60.960,22.860,60.960,15.240,60.960,7.620,60.960,0.000,60.960,-7.620,60.960,-15.240,60.960,-22.860,60.960,-30.480,60.960,-38.100,60.960,-45.720,60.960,-53.340,
68.580,53.340,68.580,45.720,68.580,38.100,68.580,30.480,68.580,22.860,68.580,15.240,68.580,7.620,68.580,0.000,68.580,-7.620,68.580,-15.240,68.580,-22.860,68.580,-30.480,68.580,-38.100,68.580,-45.720,68.580,-53.340,
76.200,53.340,76.200,45.720,76.200,38.100,76.200,30.480,76.200,22.860,76.200,15.240,76.200,7.620,76.200,0.000,76.200,-7.620,76.200,-15.240,76.200,-22.860,76.200,-30.480,76.200,-38.100,76.200,-45.720,76.200,-53.340,
83.820,53.340,83.820,45.720,83.820,38.100,83.820,30.480,83.820,22.860,83.820,15.240,83.820,7.620,83.820,0.000,83.820,-7.620,83.820,-15.240,83.820,-22.860,83.820,-30.480,83.820,-38.100,83.820,-45.720,83.820,-53.340,
91.440,53.340,91.440,45.720,91.440,38.100,91.440,30.480,91.440,22.860,91.440,15.240,91.440,7.620,91.440,0.000,91.440,-7.620,91.440,-15.240,91.440,-22.860,91.440,-30.480,91.440,-38.100,91.440,-45.720,91.440,-53.340,
99.060,53.340,99.060,45.720,99.060,38.100,99.060,30.480,99.060,22.860,99.060,15.240,99.060,7.620,99.060,0.000,99.060,-7.620,99.060,-15.240,99.060,-22.860,99.060,-30.480,99.060,-38.100,99.060,-45.720,99.060,-53.340,
106.680,53.340,106.680,45.720,106.680,38.100,106.680,30.480,106.680,22.860,106.680,15.240,106.680,7.620,106.680,0.000,106.680,-7.620,106.680,-15.240,106.680,-22.860,106.680,-30.480,106.680,-38.100,106.680,-45.720,106.680,-53.340,
114.300,53.340,114.300,45.720,114.300,38.100,114.300,30.480,114.300,22.860,114.300,15.240,114.300,7.620,114.300,0.000,114.300,-7.620,114.300,-15.240,114.300,-22.860,114.300,-30.480,114.300,-38.100,114.300,-45.720,114.300,-53.340,
